timestamp,reader,antenna,rssi,epc,phase_angle,channel_index,doppler_frequency
1747682782.044179,192.168.0.219:5084,4,-64,b'303435fc8803d056d15b963f',196,37,-1791
1747682782.127106,192.168.0.219:5084,1,-67,b'303435fc8803d056d15b963f',3232,37,-831
1747682782.160159,192.168.0.219:5084,2,-50,b'303435fc8803d056d15b963f',2388,38,-488
1747682782.191435,192.168.0.219:5084,3,-65,b'303435fc8803d056d15b963f',600,38,-1210
1747682782.243367,192.168.0.219:5084,4,-67,b'303435fc8803d056d15b963f',960,38,48
1747682782.417429,192.168.0.219:5084,1,-59,b'303435fc8803d056d15b963f',552,38,575
1747682782.310752,192.168.0.219:5084,2,-52,b'303435fc8803d056d15b963f',2692,38,-156
1747682782.348417,192.168.0.219:5084,3,-66,b'303435fc8803d056d15b963f',2084,39,722
1747682782.555624,192.168.0.219:5084,1,-60,b'303435fc8803d056d15b963f',956,39,-1210
1747682782.584916,192.168.0.219:5084,2,-52,b'303435fc8803d056d15b963f',3428,39,273
1747682782.598885,192.168.0.219:5084,1,-60,b'303435fc8803d056d15b963f',612,40,-1210
1747682782.628379,192.168.0.219:5084,2,-54,b'303435fc8803d056d15b963f',3376,40,566
1747682782.66134,192.168.0.219:5084,3,-63,b'303435fc8803d056d15b963f',3580,40,-1535
1747682782.736511,192.168.0.219:5084,4,-67,b'303435fc8803d056d15b963f',3392,40,-80
1747682782.763324,192.168.0.219:5084,1,-63,b'303435fc8803d056d15b963f',186,41,2431
1747682782.906563,192.168.0.219:5084,2,-53,b'303435fc8803d056d15b963f',36,41,234
1747682782.973928,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',1520,42,1151
1747682782.99472,192.168.0.219:5084,1,-61,b'303435fc8803d056d15b963f',3718,42,-1407
1747682783.13623,192.168.0.219:5084,2,-59,b'303435fc8803d056d15b963f',3488,42,644
1747682783.079193,192.168.0.219:5084,4,-60,b'303435fc8803d056d15b963f',1684,42,1699
1747682783.27971,192.168.0.219:5084,1,-63,b'303435fc8803d056d15b963f',3600,43,332
1747682783.187536,192.168.0.219:5084,2,-64,b'303435fc8803d056d15b963f',1360,43,1621
1747682783.218166,192.168.0.219:5084,3,-65,b'303435fc8803d056d15b963f',2416,43,-488
1747682783.249188,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',2524,43,1151
1747682783.293717,192.168.0.219:5084,1,-62,b'303435fc8803d056d15b963f',3424,43,722
1747682783.323364,192.168.0.219:5084,2,-57,b'303435fc8803d056d15b963f',3692,43,-605
1747682783.374686,192.168.0.219:5084,3,-63,b'303435fc8803d056d15b963f',208,43,-1599
1747682783.508682,192.168.0.219:5084,1,-60,b'303435fc8803d056d15b963f',400,44,-683
1747682783.419893,192.168.0.219:5084,2,-57,b'303435fc8803d056d15b963f',1888,44,878
1747682783.480733,192.168.0.219:5084,4,-56,b'303435fc8803d056d15b963f',3422,44,511
1747682783.522493,192.168.0.219:5084,1,-60,b'303435fc8803d056d15b963f',160,44,371
1747682783.589328,192.168.0.219:5084,2,-64,b'303435fc8803d056d15b963f',3724,44,-30
1747682783.634931,192.168.0.219:5084,4,-57,b'303435fc8803d056d15b963f',1060,45,7422
1747682783.773238,192.168.0.219:5084,1,-59,b'303435fc8803d056d15b963f',1248,45,1250
1747682783.801615,192.168.0.219:5084,2,-64,b'303435fc8803d056d15b963f',80,45,722
1747682783.93433,192.168.0.219:5084,1,-59,b'303435fc8803d056d15b963f',592,46,410
1747682783.963549,192.168.0.219:5084,2,-62,b'303435fc8803d056d15b963f',2504,46,1738
1747682783.983145,192.168.0.219:5084,1,-59,b'303435fc8803d056d15b963f',1560,47,-722
1747682784.015779,192.168.0.219:5084,2,-65,b'303435fc8803d056d15b963f',394,47,-2111
1747682784.049079,192.168.0.219:5084,3,-63,b'303435fc8803d056d15b963f',686,47,1919
1747682784.077279,192.168.0.219:5084,4,-55,b'303435fc8803d056d15b963f',288,47,4287
1747682784.092828,192.168.0.219:5084,1,-59,b'303435fc8803d056d15b963f',1148,47,-1894
1747682784.132576,192.168.0.219:5084,2,-68,b'303435fc8803d056d15b963f',3636,47,-511
1747682784.179363,192.168.0.219:5084,3,-63,b'303435fc8803d056d15b963f',544,47,-1983
1747682784.387078,192.168.0.219:5084,1,-62,b'303435fc8803d056d15b963f',3644,48,-39
1747682784.411817,192.168.0.219:5084,2,-66,b'303435fc8803d056d15b963f',1226,49,-2815
1747682784.570022,192.168.0.219:5084,1,-61,b'303435fc8803d056d15b963f',324,49,5630
1747682784.466994,192.168.0.219:5084,2,-71,b'303435fc8803d056d15b963f',236,49,1151
