timestamp,reader,antenna,rssi,epc,phase_angle,channel_index,doppler_frequency
1746728208.68128,192.168.0.219:5084,1,-68,b'302f482d23f0055b0223a979',84,20,478
1746728208.77241,192.168.0.219:5084,2,-66,b'302f482d23f0055b0223a979',1564,20,-19
1746728208.826445,192.168.0.219:5084,3,-58,b'302f482d23f0055b0223a979',2818,20,166
1746728208.896744,192.168.0.219:5084,4,-45,b'302f482d23f0055b0223a979',872,20,48
1746728208.693229,192.168.0.219:5084,1,-57,b'303402230c5fe5000000284f',3718,20,97
1746728208.763004,192.168.0.219:5084,2,-62,b'303402230c5fe5000000284f',782,20,332
1746728208.83061,192.168.0.219:5084,3,-58,b'303402230c5fe5000000284f',890,20,-234
1746728208.907045,192.168.0.219:5084,4,-52,b'303402230c5fe5000000284f',3546,21,19
1746728208.679302,192.168.0.219:5084,1,-67,b'3034043d145d4636c004157e',2724,20,39
1746728208.749899,192.168.0.219:5084,2,-53,b'3034043d145d4636c004157e',3922,20,39
1746728208.904189,192.168.0.219:5084,4,-56,b'3034043d145d4636c004157e',438,20,156
1746728208.678411,192.168.0.219:5084,1,-67,b'1a6ec09d9a89a44d7998631f',472,20,117
1746728208.754612,192.168.0.219:5084,2,-58,b'1a6ec09d9a89a44d7998631f',1356,20,156
1746728208.816019,192.168.0.219:5084,3,-42,b'1a6ec09d9a89a44d7998631f',764,20,117
1746728208.885612,192.168.0.219:5084,4,-55,b'1a6ec09d9a89a44d7998631f',4094,21,205
1746728208.708512,192.168.0.219:5084,1,-60,b'30080226abcd014000000000',1336,20,214
1746728208.765828,192.168.0.219:5084,2,-64,b'30080226abcd014000000000',3792,20,253
1746728208.67614,192.168.0.219:5084,1,-63,b'300833b2ddd9014000000000',4060,20,-156
1746728208.756775,192.168.0.219:5084,2,-53,b'300833b2ddd9014000000000',1942,20,68
1746728208.827578,192.168.0.219:5084,3,-60,b'300833b2ddd9014000000000',3140,20,175
1746728208.703207,192.168.0.219:5084,1,-56,b'e2806995000040182224401d',3116,20,126
1746728208.822693,192.168.0.219:5084,3,-48,b'e2806995000040182224401d',3944,20,117
1746728208.897886,192.168.0.219:5084,4,-46,b'e2806995000040182224401d',746,20,126
1746728208.674357,192.168.0.219:5084,1,-59,b'3034055d140442c00002f66f',306,20,234
1746728208.753713,192.168.0.219:5084,2,-62,b'3034055d140442c00002f66f',3570,20,39
1746728208.818092,192.168.0.219:5084,3,-54,b'3034055d140442c00002f66f',158,20,87
1746728208.883631,192.168.0.219:5084,4,-57,b'3034055d140442c00002f66f',1154,21,205
1746728208.699114,192.168.0.219:5084,1,-56,b'30340bd9601cb4131dae71ca',3122,20,68
1746728208.840168,192.168.0.219:5084,3,-61,b'30340bd9601cb4131dae71ca',1192,20,253
1746728208.889561,192.168.0.219:5084,4,-67,b'30340bd9601cb4131dae71ca',3490,21,48
1746728208.694159,192.168.0.219:5084,1,-48,b'30340bdca803e807ea8f87fa',2904,20,126
1746728208.770244,192.168.0.219:5084,2,-62,b'30340bdca803e807ea8f87fa',512,20,-39
1746728208.832579,192.168.0.219:5084,3,-61,b'30340bdca803e807ea8f87fa',3826,20,380
1746728208.874239,192.168.0.219:5084,4,-53,b'30340bdca803e807ea8f87fa',50,21,136
1746728208.696871,192.168.0.219:5084,1,-39,b'303405b5280eaad61e731e9e',450,20,87
1746728208.752566,192.168.0.219:5084,2,-63,b'303405b5280eaad61e731e9e',3928,20,-19
1746728208.843757,192.168.0.219:5084,3,-64,b'303405b5280eaad61e731e9e',3808,20,371
1746728208.695993,192.168.0.219:5084,1,-39,b'e2806894000050245885a8ce',458,20,87
1746728208.697772,192.168.0.219:5084,1,-48,b'303400eda43f67800000bfa3',3024,20,97
1746728208.743379,192.168.0.219:5084,2,-47,b'303400eda43f67800000bfa3',164,20,48
1746728209.080945,192.168.0.219:5084,2,-59,b'e2806995000040175bd46647',3736,21,58
1746728209.137065,192.168.0.219:5084,3,-51,b'e2806995000040175bd46647',3972,22,175
1746728209.042786,192.168.0.219:5084,2,-59,b'303401ad2c2ce11e88eaca05',1256,21,97
1746728209.132958,192.168.0.219:5084,3,-34,b'303401ad2c2ce11e88eaca05',806,22,97
1746728209.1847,192.168.0.219:5084,4,-59,b'303401ad2c2ce11e88eaca05',3804,22,156
1746728209.093128,192.168.0.219:5084,2,-59,b'30340212e43c789b0223addd',4038,21,48
1746728209.086609,192.168.0.219:5084,2,-52,b'30340bf45421f28ba43b772d',1196,21,273
1746728209.084684,192.168.0.219:5084,2,-63,b'30340bb6884191844ce0046d',366,21,68
1746728209.058896,192.168.0.219:5084,2,-40,b'303424f330014cce6f7d749d',3124,21,107
1746728209.149405,192.168.0.219:5084,3,-61,b'303424f330014cce6f7d749d',1194,22,273
1746728209.081849,192.168.0.219:5084,2,-57,b'3034055d140442c00002f66f',398,21,97
1746728209.143738,192.168.0.219:5084,3,-52,b'3034055d140442c00002f66f',3838,22,0
1746728209.180206,192.168.0.219:5084,4,-54,b'3034055d140442c00002f66f',1350,22,58
1746728209.064644,192.168.0.219:5084,2,-57,b'300833b2ddd9014000000000',428,21,185
1746728209.141746,192.168.0.219:5084,3,-60,b'300833b2ddd9014000000000',2500,22,-78
1746728209.17574,192.168.0.219:5084,4,-64,b'300833b2ddd9014000000000',980,22,87
1746728209.0603,192.168.0.219:5084,2,-38,b'303402b6f00cacd6d1467dfc',3618,21,48
1746728209.154729,192.168.0.219:5084,3,-68,b'303402b6f00cacd6d1467dfc',202,22,517
1746728209.00792,192.168.0.219:5084,1,-70,b'302f482d23f0055b0223a979',3286,21,-292
1746728209.144659,192.168.0.219:5084,3,-56,b'302f482d23f0055b0223a979',102,22,214
1746728209.166968,192.168.0.219:5084,4,-44,b'302f482d23f0055b0223a979',1308,22,58
1746728209.001808,192.168.0.219:5084,1,-66,b'303402230c5fe5000000284f',308,21,-205
1746728209.140802,192.168.0.219:5084,3,-57,b'303402230c5fe5000000284f',4004,22,156
1746728209.174847,192.168.0.219:5084,4,-54,b'303402230c5fe5000000284f',1534,22,156
1746728209.009698,192.168.0.219:5084,1,-64,b'302a0fecf89f08758d158d55',3842,21,380
1746728209.090806,192.168.0.219:5084,2,-56,b'302a0fecf89f08758d158d55',60,21,58
1746728209.142849,192.168.0.219:5084,3,-55,b'302a0fecf89f08758d158d55',3098,22,-9
1746728208.994119,192.168.0.219:5084,1,-62,b'302832aa8f7309800001f49f',4062,21,117
1746728209.089887,192.168.0.219:5084,2,-63,b'302832aa8f7309800001f49f',3510,21,253
