# Quadrant and Per-File Results
# This file contains quadrant accuracies and per-file accuracies for dynamic and static data.
# - Quadrant: Q1 (x<7.5, y>=7.5), Q2 (x>=7.5, y>=7.5), Q3 (x<7.5, y<7.5), Q4 (x>=7.5, y<7.5).
# - Accuracy: Prediction accuracy for each quadrant or file (0 to 1).
# - Dataset: 'circle_dynamic' (CircleTests), 'line_dynamic' (MoveTest2), or 'static' (Test8).
# - Filename: Name of the data file (e.g., CircleTest1-1.csv, MoveTest2-1.csv, (12,3).csv) or 'All' for dataset-level.
Quadrant,Accuracy,Dataset,Filename,Total Accuracy,Q1 Accuracy,Q2 Accuracy,Q3 Accuracy,Q4 Accuracy
Q1,0.8774647887323944,,,,,,,
Q2,0.8365685660613651,,,,,,,
Q3,0.8551136363636364,,,,,,,
Q4,0.8690476190476191,,,,,,,
,,line_dynamic,movetest2-9,0.9583333333333334,1.0,,,0.9230769230769231
,,line_dynamic,movetest2-10,0.9615384615384616,0.9333333333333333,,,1.0
,,line_dynamic,movetest2-11,0.9473684210526315,0.875,,,1.0
,,line_dynamic,movetest2-12,0.9583333333333334,0.9473684210526315,,,1.0
,,line_dynamic,movetest2-13,0.9285714285714286,1.0,,,0.8571428571428571
,,line_dynamic,movetest2-14,0.9696969696969697,0.9375,,,1.0
,,line_dynamic,movetest2-15,0.9642857142857143,1.0,,,0.9473684210526315
,,line_dynamic,movetest2-16,1.0,1.0,,,1.0
,,line_dynamic,movetest2-17,0.9591836734693877,,1.0,0.9047619047619048,
,,line_dynamic,movetest2-18,0.9666666666666667,,1.0,0.9166666666666666,
,,line_dynamic,movetest2-19,0.9310344827586207,,0.9,0.9473684210526315,
,,line_dynamic,movetest2-20,0.9545454545454546,,1.0,0.8333333333333334,
,,line_dynamic,movetest2-21,0.9473684210526315,,0.9047619047619048,1.0,
,,line_dynamic,movetest2-22,1.0,,1.0,1.0,
,,line_dynamic,movetest2-23,0.8974358974358975,,0.85,0.9473684210526315,
,,line_dynamic,movetest2-24,0.9642857142857143,,0.9444444444444444,1.0,
,,line_dynamic,movetest2-25,1.0,,1.0,1.0,
,,line_dynamic,movetest2-26,1.0,,1.0,1.0,
