RunTimestamp,Timestamp,EPC,Antenna,RSSI,PhaseAngle,Frequency,DopplerFrequency
2025-03-21T14:33:37.055013,1742589331266929,333033343034373133383130353834316463643635353864,1,-70.00,6.46,34,45.43
2025-03-21T14:33:37.055013,1742589331266929,333033343034373133383130353834316463643635353864,1,-70.00,6.46,34,45.43
2025-03-21T14:33:37.055013,1742589331304839,333033343030656461343366363238303030303039663366,1,-63.50,22.60,33,-1.17
2025-03-21T14:33:37.055013,1742589331304839,333033343030656461343366363238303030303039663366,1,-63.50,22.60,33,-1.17
2025-03-21T14:33:37.055013,1742589331304839,333033343030656461343366363238303030303039663366,1,-63.50,22.60,33,-1.17
2025-03-21T14:33:37.055013,1742589331304839,333033343030656461343366363238303030303039663366,1,-63.50,22.60,33,-1.17
2025-03-21T14:33:37.055013,1742589331304287,333033343332396435303538353531616636333765313038,1,-60.50,33.76,33,-3.51
2025-03-21T14:33:37.055013,1742589331304287,333033343332396435303538353531616636333765313038,1,-60.50,33.76,33,-3.51
2025-03-21T14:33:37.055013,1742589331304287,333033343332396435303538353531616636333765313038,1,-60.50,33.76,33,-3.51
2025-03-21T14:33:37.055013,1742589331304287,333033343332396435303538353531616636333765313038,1,-60.50,33.76,33,-3.51
2025-03-21T14:33:37.055013,1742589331305807,316132656330396439613839613431643435623036326162,1,-66.00,30.52,33,-42.18
2025-03-21T14:33:37.055013,1742589331305807,316132656330396439613839613431643435623036326162,1,-66.00,30.52,33,-42.18
2025-03-21T14:33:37.055013,1742589331305807,316132656330396439613839613431643435623036326162,1,-66.00,30.52,33,-42.18
2025-03-21T14:33:37.055013,1742589331305807,316132656330396439613839613431643435623036326162,1,-66.00,30.52,33,-42.18
2025-03-21T14:33:37.055013,1742589331274306,333032613066656366383966303837353864313538643535,1,-61.50,37.80,33,-26.87
2025-03-21T14:33:37.055013,1742589331274306,333032613066656366383966303837353864313538643535,1,-61.50,37.80,33,-26.87
2025-03-21T14:33:37.055013,1742589331274306,333032613066656366383966303837353864313538643535,1,-61.50,37.80,33,-26.87
2025-03-21T14:33:37.055013,1742589331299038,316136386662616363633738303038346336353437316438,1,-61.50,13.36,33,5.46
2025-03-21T14:33:37.055013,1742589331299038,316136386662616363633738303038346336353437316438,1,-61.50,13.36,33,5.46
2025-03-21T14:33:37.055013,1742589331299038,316136386662616363633738303038346336353437316438,1,-61.50,13.36,33,5.46
2025-03-21T14:33:37.055013,1742589331299038,316136386662616363633738303038346336353437316438,1,-61.50,13.36,33,5.46
2025-03-21T14:33:37.055013,1742589331302072,333032663438326432336630303535623032323361393739,1,-63.50,31.12,33,7.22
2025-03-21T14:33:37.055013,1742589331302072,333032663438326432336630303535623032323361393739,1,-63.50,31.12,33,7.22
2025-03-21T14:33:37.055013,1742589331302072,333032663438326432336630303535623032323361393739,1,-63.50,31.12,33,7.22
2025-03-21T14:33:37.055013,1742589331302072,333032663438326432336630303535623032323361393739,1,-63.50,31.12,33,7.22
2025-03-21T14:33:37.055013,1742589331302628,333033323131343638653033653239623032323530346331,1,-64.50,11.12,33,2.34
2025-03-21T14:33:37.055013,1742589331302628,333033323131343638653033653239623032323530346331,1,-64.50,11.12,33,2.34
2025-03-21T14:33:37.055013,1742589331302628,333033323131343638653033653239623032323530346331,1,-64.50,11.12,33,2.34
2025-03-21T14:33:37.055013,1742589331302628,333033323131343638653033653239623032323530346331,1,-64.50,11.12,33,2.34
2025-03-21T14:33:37.055013,1742589331294974,333032663438326235313930333331366431343234623263,1,-62.00,5.80,33,4.68
2025-03-21T14:33:37.055013,1742589331294974,333032663438326235313930333331366431343234623263,1,-62.00,5.80,33,4.68
2025-03-21T14:33:37.055013,1742589331294974,333032663438326235313930333331366431343234623263,1,-62.00,5.80,33,4.68
2025-03-21T14:33:37.055013,1742589331294974,333032663438326235313930333331366431343234623263,1,-62.00,5.80,33,4.68
2025-03-21T14:33:37.055013,1742589331295528,333033343035356431343034343263303030303266363666,1,-58.50,17.28,33,0.39
2025-03-21T14:33:37.055013,1742589331295528,333033343035356431343034343263303030303266363666,1,-58.50,17.28,33,0.39
2025-03-21T14:33:37.055013,1742589331295528,333033343035356431343034343263303030303266363666,1,-58.50,17.28,33,0.39
2025-03-21T14:33:37.055013,1742589331295528,333033343035356431343034343263303030303266363666,1,-58.50,17.28,33,0.39
2025-03-21T14:33:37.055013,1742589331303558,333033303430343230613838323464363165376632346432,1,-60.00,20.36,33,-0.39
2025-03-21T14:33:37.055013,1742589331303558,333033303430343230613838323464363165376632346432,1,-60.00,20.36,33,-0.39
2025-03-21T14:33:37.055013,1742589331303558,333033303430343230613838323464363165376632346432,1,-60.00,20.36,33,-0.39
2025-03-21T14:33:37.055013,1742589331303558,333033303430343230613838323464363165376632346432,1,-60.00,20.36,33,-0.39
2025-03-21T14:33:37.055013,1742589331296197,333030383333623264646439303134303030303030303030,1,-45.00,34.56,33,0.78
2025-03-21T14:33:37.055013,1742589331296197,333030383333623264646439303134303030303030303030,1,-45.00,34.56,33,0.78
2025-03-21T14:33:37.055013,1742589331296197,333030383333623264646439303134303030303030303030,1,-45.00,34.56,33,0.78
2025-03-21T14:33:37.055013,1742589331296197,333030383333623264646439303134303030303030303030,1,-45.00,34.56,33,0.78
2025-03-21T14:33:37.055013,1742589331137461,316132306233396331363839613732393437306137373135,1,-75.50,27.04,33,0.25
2025-03-21T14:33:37.055013,1742589331137461,316132306233396331363839613732393437306137373135,1,-75.50,27.04,33,0.25
2025-03-21T14:33:37.055013,1742589331566424,333032383332616138663733303938303030303166343966,1,-71.00,7.84,35,-19.83
2025-03-21T14:33:37.055013,1742589331566424,333032383332616138663733303938303030303166343966,1,-71.00,7.84,35,-19.83
2025-03-21T14:33:37.055013,1742589331566424,333032383332616138663733303938303030303166343966,1,-71.00,7.84,35,-19.83
