timestamp,reader,antenna,epc,phase_angle,channel_index,doppler_frequency,rssi,,,epc,(All),,,,,
1753823918,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',2768,37,39,-56,,,,,,,,,
1753823919,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',1760,37,273,-63,,,,,,,,,
1753823919,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',2476,37,-39,-60,,,,,,,,,
1753823919,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',3980,37,-332,-60,,,,,,,,,
1753823919,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',2492,37,6,-55,,,,,,,,,
1753823919,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',2692,38,156,-59,,,,,,,,,
1753823919,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',1336,38,644,-58,,,,,,,,,
1753823919,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',332,38,-195,-54,,,,,,,,,
1753823919,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',2716,38,-195,-58,,,,,,,,,
1753823919,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',436,38,371,-61,,,,,,,,,
1753823919,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',1428,38,839,-60,,,,,,,,,
1753823919,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',720,38,1,-54,,,,,,,,,
1753823919,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',2392,39,-1250,-59,,,,,,,,,
1753823919,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',1732,39,0,-56,,,,,,,,,
1753823919,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',2720,39,-195,-53,,,,,,,,,
1753823919,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',2132,39,332,-59,,,,,,,,,
1753823919,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',3980,39,1343,-64,,,,,,,,,
1753823919,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',1372,39,0,-56,,,,,,,,,
1753823919,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3340,39,447,-53,,,,,,,,,
1753823919,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',2548,40,-234,-59,,,,,,,,,
1753823919,192.168.0.219:5084,1,b'303435fc8803d056d15b963f',1972,40,234,-60,,,,,,,,,
1753823919,192.168.0.219:5084,2,b'303435fc8803d056d15b963f',3240,40,-39,-56,,,,,,,,,
1753823919,192.168.0.219:5084,3,b'303435fc8803d056d15b963f',2364,40,410,-58,,,,,,,,,
1753823919,192.168.0.219:5084,4,b'303435fc8803d056d15b963f',0,40,-39,-67,,,,,,,,,
