timestamp,reader,antenna,rssi,epc,phase_angle,channel_index,doppler_frequency
1754435808.293544,192.168.0.219:5084,2,-61,b'303435fc8803d056d15b963f',0,2,3583
1754435808.444078,192.168.0.219:5084,1,-63,b'303435fc8803d056d15b963f',1292,2,234
1754435808.360963,192.168.0.219:5084,2,-60,b'303435fc8803d056d15b963f',3330,3,255
1754435808.596357,192.168.0.219:5084,1,-64,b'303435fc8803d056d15b963f',2996,3,449
1754435808.491066,192.168.0.219:5084,2,-61,b'303435fc8803d056d15b963f',3360,3,2815
1754435808.583178,192.168.0.219:5084,4,-71,b'303435fc8803d056d15b963f',2596,4,40
1754435808.744588,192.168.0.219:5084,1,-63,b'303435fc8803d056d15b963f',2716,4,-1054
1754435808.776601,192.168.0.219:5084,2,-61,b'303435fc8803d056d15b963f',162,5,511
1754435808.723462,192.168.0.219:5084,4,-71,b'303435fc8803d056d15b963f',664,4,-35
1754435808.906976,192.168.0.219:5084,1,-64,b'303435fc8803d056d15b963f',2684,5,-39
1754435808.939868,192.168.0.219:5084,2,-62,b'303435fc8803d056d15b963f',288,5,-1535
1754435809.071279,192.168.0.219:5084,1,-62,b'303435fc8803d056d15b963f',2820,6,488
1754435809.102687,192.168.0.219:5084,2,-66,b'303435fc8803d056d15b963f',2368,6,-117
1754435809.173266,192.168.0.219:5084,4,-62,b'303435fc8803d056d15b963f',74,7,1535
1754435809.315731,192.168.0.219:5084,1,-66,b'303435fc8803d056d15b963f',3092,7,-1738
1754435809.226298,192.168.0.219:5084,2,-67,b'303435fc8803d056d15b963f',992,7,639
1754435809.28808,192.168.0.219:5084,4,-62,b'303435fc8803d056d15b963f',16,7,-2815
1754435809.365013,192.168.0.219:5084,1,-62,b'303435fc8803d056d15b963f',3828,7,9
1754435809.406949,192.168.0.219:5084,2,-71,b'303435fc8803d056d15b963f',4048,8,-8
1754435809.453544,192.168.0.219:5084,4,-62,b'303435fc8803d056d15b963f',442,8,-2175
1754435809.606858,192.168.0.219:5084,1,-63,b'303435fc8803d056d15b963f',2228,8,0
1754435809.639291,192.168.0.219:5084,2,-62,b'303435fc8803d056d15b963f',3906,8,5183
1754435809.791288,192.168.0.219:5084,1,-63,b'303435fc8803d056d15b963f',2824,9,1132
1754435809.688453,192.168.0.219:5084,2,-61,b'303435fc8803d056d15b963f',4002,9,511
1754435809.768237,192.168.0.219:5084,4,-71,b'303435fc8803d056d15b963f',2408,10,39
1754435809.957653,192.168.0.219:5084,1,-63,b'303435fc8803d056d15b963f',1184,10,39
1754435809.843486,192.168.0.219:5084,2,-60,b'303435fc8803d056d15b963f',1424,10,8830
1754435809.930353,192.168.0.219:5084,4,-71,b'303435fc8803d056d15b963f',356,10,0
1754435810.107013,192.168.0.219:5084,1,-64,b'303435fc8803d056d15b963f',1244,11,-410
1754435810.140571,192.168.0.219:5084,2,-62,b'303435fc8803d056d15b963f',3056,11,2303
1754435810.307834,192.168.0.219:5084,1,-63,b'303435fc8803d056d15b963f',608,12,39
1754435810.194086,192.168.0.219:5084,2,-62,b'303435fc8803d056d15b963f',602,12,-1151
1754435810.28759,192.168.0.219:5084,4,-71,b'303435fc8803d056d15b963f',2368,12,6
1754435810.461014,192.168.0.219:5084,1,-64,b'303435fc8803d056d15b963f',2032,12,1015
1754435810.381461,192.168.0.219:5084,2,-70,b'303435fc8803d056d15b963f',272,13,7
1754435810.432603,192.168.0.219:5084,4,-62,b'303435fc8803d056d15b963f',2986,13,-6078
1754435810.621805,192.168.0.219:5084,1,-64,b'303435fc8803d056d15b963f',808,13,449
1754435810.528711,192.168.0.219:5084,2,-70,b'303435fc8803d056d15b963f',276,13,-81
1754435810.603176,192.168.0.219:5084,4,-71,b'303435fc8803d056d15b963f',2700,14,-40
1754435810.767623,192.168.0.219:5084,1,-63,b'303435fc8803d056d15b963f',1544,14,3339
1754435810.665058,192.168.0.219:5084,2,-65,b'303435fc8803d056d15b963f',1120,14,-3144
1754435810.739943,192.168.0.219:5084,4,-71,b'303435fc8803d056d15b963f',540,14,36
