file,antenna,mean_rssi,std_rssi
"(8,10).csv",4,-64.5603448275862,2.156038206902927
"(10,7).csv",1,-63.07333333333333,2.6523300296399306
"(10,7).csv",2,-65.5,2.3794685338531214
"(10,7).csv",3,-64.45625,2.245461880461072
"(10,7).csv",4,-59.272,2.0055407122237874
"(3,1).csv",1,-47.42857142857143,0.853242039530389
"(3,1).csv",2,-71.66666666666667,1.1547005383792517
"(3,1).csv",3,-68.09411764705882,2.393560455192445
"(3,1).csv",4,-65.144578313253,3.2314481014255634
"(8,3).csv",1,-61.082644628099175,2.4310038285294966
"(8,3).csv",2,-67.67567567567568,3.375187682469212
"(8,3).csv",3,-69.27710843373494,2.746675387303838
"(8,3).csv",4,-64.10619469026548,3.0099917888426417
"(8,8).csv",1,-59.437086092715234,2.8926946121575465
"(8,8).csv",2,-65.53125,2.775657816768752
"(8,8).csv",3,-67.89516129032258,2.578266097852374
"(8,8).csv",4,-61.94736842105263,2.4842405993908647
"(12,1).csv",1,-68.453125,3.347255153628427
"(12,1).csv",2,-66.24096385542168,2.228366794728455
"(12,1).csv",3,-69.11363636363636,2.6432530089540447
"(12,1).csv",4,-49.04255319148936,1.2436063894894367
"(5,14).csv",1,-67.9,2.4916667837703614
"(5,14).csv",2,-66.57971014492753,2.6160972609737643
"(5,14).csv",3,-65.68217054263566,1.5909141246270913
"(5,14).csv",4,-63.333333333333336,1.984534038544075
"(10,12).csv",1,-59.75539568345324,1.8837279051288016
"(10,12).csv",2,-65.97979797979798,3.2102507943855443
"(10,12).csv",3,-59.27536231884058,2.1504306679239553
"(10,12).csv",4,-69.27083333333333,3.41298885257503
"(7,12).csv",1,-64.52991452991454,2.099148635192823
"(7,12).csv",2,-63.186206896551724,0.9645537749002537
"(7,12).csv",3,-66.30344827586207,1.5107215804001048
"(7,12).csv",4,-64.515625,2.6784986762606695
"(3,7).csv",1,-57.05921052631579,1.8022559543310088
"(3,7).csv",2,-64.36842105263158,1.2431758653290503
"(3,7).csv",3,-65.81818181818181,2.019267460600769
"(3,7).csv",4,-60.291044776119406,1.08872987229254
"(8,5).csv",1,-56.007936507936506,1.1764083083421792
"(8,5).csv",2,-69.21818181818182,2.685288515369328
"(8,5).csv",3,-68.25641025641026,3.1558475817716483
"(8,5).csv",4,-59.18421052631579,3.2711281631436004
"(10,1).csv",1,-63.48951048951049,1.514563725902206
"(10,1).csv",2,-66.02836879432624,2.7644251854366386
"(10,1).csv",3,-72.73333333333333,2.211776214491083
"(10,1).csv",4,-54.54744525547445,1.8941504494864774
