file,antenna,mean_rssi,std_rssi
quad1_test.csv,1,-54.986861313868616,7.2763819000447905
quad1_test.csv,2,-63.18766066838046,4.035059233589751
quad1_test.csv,3,-63.170731707317074,4.5497159859849505
quad1_test.csv,4,-60.53228962818004,4.885596521897257
quadz1_test.csv,1,-55.57415730337079,7.127443880045063
quadz1_test.csv,2,-63.69609261939218,4.643240286957343
quadz1_test.csv,3,-61.74045801526717,5.785227556382442
quadz1_test.csv,4,-62.9214402618658,5.279441899926941
quad2_test.csv,1,-59.76775147928994,4.994891758327222
quad2_test.csv,2,-62.92677824267783,4.423218052768239
quad2_test.csv,3,-55.447844228094574,8.107030732397378
quad2_test.csv,4,-61.44927536231884,4.486380322149766
quadz2_test.csv,1,-60.235434007134366,5.492135510001833
quadz2_test.csv,2,-64.9103448275862,4.007190844551041
quadz2_test.csv,3,-56.4289156626506,7.027200815093664
quadz2_test.csv,4,-62.10584518167457,5.550673977327046
quad3_test.csv,1,-60.197916666666664,4.921194181691376
quad3_test.csv,2,-56.68866328257191,5.893218458820134
quad3_test.csv,3,-62.54852320675106,4.504023093870157
quad3_test.csv,4,-61.0,4.9317593857959245
quadz3_test.csv,1,-60.528301886792455,5.549682857218838
quadz3_test.csv,2,-56.98321678321678,6.441049051754915
quadz3_test.csv,3,-64.78947368421052,4.143811451575657
quadz3_test.csv,4,-61.3800350262697,5.175606142872488
quad4_test.csv,1,-59.41146711635751,5.104913177850647
quad4_test.csv,2,-61.792792792792795,4.378001888401415
quad4_test.csv,3,-63.4582338902148,3.861235111504196
quad4_test.csv,4,-57.19886363636363,6.570897731546845
quadz4_test.csv,1,-59.38401253918495,5.474490138177065
quadz4_test.csv,2,-62.809411764705885,4.747780601894867
quadz4_test.csv,3,-63.29662921348314,4.949939699291511
quadz4_test.csv,4,-58.68627450980392,6.735140298905315
"(3,8).csv",1,-64.39375,2.9226869583661834
"(3,8).csv",2,-63.65693430656934,2.471716348792461
"(3,8).csv",3,-66.04545454545455,3.5893473356068557
"(3,8).csv",4,-63.784,2.2915834784510203
"(14,5).csv",2,-65.08571428571429,2.197526081556458
"(14,5).csv",3,-67.7872340425532,1.6712131993071144
"(14,5).csv",4,-49.574074074074076,1.0249568370552182
"(7,3).csv",1,-55.756521739130434,1.1285085977630027
"(7,3).csv",2,-66.91549295774648,3.636114405214286
"(7,3).csv",3,-73.0,1.7320508075688772
"(7,3).csv",4,-63.324561403508774,2.321487217986756
"(1,14).csv",1,-68.3030303030303,3.1867386197024428
"(1,14).csv",2,-38.990566037735846,0.7236847908791957
"(1,14).csv",3,-69.92063492063492,2.807257801586333
"(1,14).csv",4,-61.04040404040404,2.3600380138722943
"(8,7).csv",1,-56.94478527607362,1.1013545741737638
"(8,7).csv",2,-66.99074074074075,2.846527218064934
"(8,7).csv",3,-66.79629629629629,1.783773963094755
"(8,7).csv",4,-58.39259259259259,0.7237577756785544
"(14,8).csv",1,-65.63218390804597,1.6851950582615653
"(14,8).csv",3,-67.21782178217822,1.9162669980774578
"(14,8).csv",4,-66.03225806451613,2.939430634394687
"(3,12).csv",1,-61.63448275862069,1.7393077849768932
"(3,12).csv",2,-60.62068965517241,1.7836797386194883
"(3,12).csv",3,-69.35555555555555,3.1060329520348127
"(3,12).csv",4,-68.48809523809524,2.8220049593897643
"(1,8).csv",1,-62.660377358490564,2.3622296608550486
"(1,8).csv",2,-64.10126582278481,2.6618079039298093
"(1,8).csv",3,-69.96551724137932,2.4506625892678047
"(1,8).csv",4,-63.862385321100916,3.0685618839023094
"(14,14).csv",1,-65.90839694656489,2.635410876386303
"(14,14).csv",2,-69.51851851851852,2.636582437847706
"(14,14).csv",3,-36.786259541984734,0.7845393904685167
"(14,14).csv",4,-64.05813953488372,2.6979497713145535
"(5,10).csv",1,-58.13414634146341,1.3316551361991864
"(5,10).csv",2,-61.079754601226995,2.413904155665888
"(5,10).csv",3,-66.06172839506173,2.7202743696674156
"(5,10).csv",4,-66.04918032786885,2.341126719539096
"(1,12).csv",1,-68.50574712643679,3.117369057761393
"(1,12).csv",2,-51.34814814814815,1.115150204182529
"(1,12).csv",3,-68.37692307692308,2.255966712518263
"(1,12).csv",4,-66.84536082474227,2.2700046172198225
"(12,5).csv",1,-62.526315789473685,2.9211516453249255
"(12,5).csv",2,-66.0379746835443,2.807828174351101
"(12,5).csv",3,-66.40718562874251,2.541595383187579
"(12,5).csv",4,-60.601694915254235,2.332013657978779
"(14,3).csv",1,-65.07874015748031,2.617421180913613
"(14,3).csv",3,-63.25954198473283,1.9556143487191002
"(14,3).csv",4,-48.229007633587784,1.2188575072658014
"(10,5).csv",1,-59.63428571428572,2.1636950697082535
"(10,5).csv",2,-65.67816091954023,1.7764955622308036
"(10,5).csv",3,-67.35849056603773,1.77636743144337
"(10,5).csv",4,-59.88721804511278,3.190074890681527
"(12,10).csv",1,-59.808510638297875,1.7684330982822913
"(12,10).csv",2,-71.4,2.443650664769531
"(12,10).csv",3,-60.11194029850746,3.476365848872343
"(12,10).csv",4,-64.67153284671532,2.3455511363226207
"(5,5).csv",1,-56.08092485549133,0.810064065881274
"(5,5).csv",2,-62.905325443786985,2.065137501332123
"(5,5).csv",3,-67.53164556962025,2.0053142329674993
"(5,5).csv",4,-62.682539682539684,2.16018811644095
"(3,14).csv",1,-66.65492957746478,1.7260859451490111
"(3,14).csv",2,-60.947712418300654,0.9719138043409279
"(3,14).csv",3,-64.69064748201438,3.09709756802156
"(3,14).csv",4,-66.625,3.958982658375809
"(1,1).csv",1,-40.0,0.5559594491425693
