antenna_port,epc,first_seen_timestamp,mac_address,peak_rssi,reader_name,tid,timestamp
4,303435FC8803D056D15B963F,1744913869893033,00:16:25:12:77:b9,-58,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913869913123,00:16:25:12:77:b9,-58,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
1,303435FC8803D056D15B963F,1744913869940826,00:16:25:12:77:b9,-57,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
1,303435FC8803D056D15B963F,1744913869959940,00:16:25:12:77:b9,-58,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913869990431,00:16:25:12:77:b9,-64,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913870007494,00:16:25:12:77:b9,-64,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
3,303435FC8803D056D15B963F,1744913870041166,00:16:25:12:77:b9,-55,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
3,303435FC8803D056D15B963F,1744913870064394,00:16:25:12:77:b9,-56,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913870087721,00:16:25:12:77:b9,-62,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913870109466,00:16:25:12:77:b9,-62,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
1,303435FC8803D056D15B963F,1744913870136402,00:16:25:12:77:b9,-66,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
1,303435FC8803D056D15B963F,1744913870157387,00:16:25:12:77:b9,-65,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
3,303435FC8803D056D15B963F,1744913870202952,00:16:25:12:77:b9,-60,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
3,303435FC8803D056D15B963F,1744913870245067,00:16:25:12:77:b9,-62,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913870272551,00:16:25:12:77:b9,-55,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913870294043,00:16:25:12:77:b9,-55,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913870338371,00:16:25:12:77:b9,-67,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913870359701,00:16:25:12:77:b9,-66,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
3,303435FC8803D056D15B963F,1744913870388109,00:16:25:12:77:b9,-61,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
3,303435FC8803D056D15B963F,1744913870406512,00:16:25:12:77:b9,-61,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913870440960,00:16:25:12:77:b9,-51,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913870463665,00:16:25:12:77:b9,-51,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
1,303435FC8803D056D15B963F,1744913870489398,00:16:25:12:77:b9,-69,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
1,303435FC8803D056D15B963F,1744913870508131,00:16:25:12:77:b9,-68,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913870534917,00:16:25:12:77:b9,-61,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913870554930,00:16:25:12:77:b9,-61,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913870612098,00:16:25:12:77:b9,-53,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913870653846,00:16:25:12:77:b9,-53,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
1,303435FC8803D056D15B963F,1744913870678605,00:16:25:12:77:b9,-67,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
1,303435FC8803D056D15B963F,1744913870701500,00:16:25:12:77:b9,-67,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913870724716,00:16:25:12:77:b9,-60,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913870747075,00:16:25:12:77:b9,-60,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913870796055,00:16:25:12:77:b9,-52,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913870817037,00:16:25:12:77:b9,-52,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
1,303435FC8803D056D15B963F,1744913870852723,00:16:25:12:77:b9,-59,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
1,303435FC8803D056D15B963F,1744913870872920,00:16:25:12:77:b9,-59,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913870899290,00:16:25:12:77:b9,-59,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913870922575,00:16:25:12:77:b9,-58,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913870968042,00:16:25:12:77:b9,-55,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913870985762,00:16:25:12:77:b9,-54,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
1,303435FC8803D056D15B963F,1744913871012090,00:16:25:12:77:b9,-58,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913871074634,00:16:25:12:77:b9,-61,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913871118335,00:16:25:12:77:b9,-51,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913871141868,00:16:25:12:77:b9,-51,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913871183340,00:16:25:12:77:b9,-62,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913871204313,00:16:25:12:77:b9,-62,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913871259040,00:16:25:12:77:b9,-53,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913871278995,00:16:25:12:77:b9,-54,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
1,303435FC8803D056D15B963F,1744913871303153,00:16:25:12:77:b9,-71,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
1,303435FC8803D056D15B963F,1744913871324840,00:16:25:12:77:b9,-71,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913871350630,00:16:25:12:77:b9,-66,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913871373079,00:16:25:12:77:b9,-66,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913871421529,00:16:25:12:77:b9,-56,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
1,303435FC8803D056D15B963F,1744913871485232,00:16:25:12:77:b9,-62,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913871511858,00:16:25:12:77:b9,-66,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913871532000,00:16:25:12:77:b9,-65,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
1,303435FC8803D056D15B963F,1744913871597375,00:16:25:12:77:b9,-65,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
1,303435FC8803D056D15B963F,1744913871617090,00:16:25:12:77:b9,-66,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913871643726,00:16:25:12:77:b9,-63,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913871674779,00:16:25:12:77:b9,-61,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913871719180,00:16:25:12:77:b9,-57,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913871739844,00:16:25:12:77:b9,-57,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
1,303435FC8803D056D15B963F,1744913871765841,00:16:25:12:77:b9,-69,Impinj RFID Reader,,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913871800499,00:16:25:12:77:b9,-61,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913871817497,00:16:25:12:77:b9,-61,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913871874018,00:16:25:12:77:b9,-58,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913871895158,00:16:25:12:77:b9,-59,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913871941102,00:16:25:12:77:b9,-61,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913871959995,00:16:25:12:77:b9,-61,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913872008562,00:16:25:12:77:b9,-64,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913872031446,00:16:25:12:77:b9,-65,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913872080041,00:16:25:12:77:b9,-64,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913872100304,00:16:25:12:77:b9,-65,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913872183302,00:16:25:12:77:b9,-66,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913872205819,00:16:25:12:77:b9,-65,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913872294418,00:16:25:12:77:b9,-64,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913872314247,00:16:25:12:77:b9,-64,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913872453591,00:16:25:12:77:b9,-65,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913872479409,00:16:25:12:77:b9,-69,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
3,303435FC8803D056D15B963F,1744913872520530,00:16:25:12:77:b9,-65,Impinj RFID Reader,,2025-04-17 12:15:52
3,303435FC8803D056D15B963F,1744913872538822,00:16:25:12:77:b9,-65,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913872570507,00:16:25:12:77:b9,-66,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913872590581,00:16:25:12:77:b9,-66,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913872636828,00:16:25:12:77:b9,-68,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913872677248,00:16:25:12:77:b9,-63,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913872725789,00:16:25:12:77:b9,-64,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913872746726,00:16:25:12:77:b9,-64,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913872792938,00:16:25:12:77:b9,-64,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913872814969,00:16:25:12:77:b9,-64,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913872880022,00:16:25:12:77:b9,-65,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913872901677,00:16:25:12:77:b9,-65,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913872947966,00:16:25:12:77:b9,-63,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913872967720,00:16:25:12:77:b9,-63,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913873013289,00:16:25:12:77:b9,-61,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913873034447,00:16:25:12:77:b9,-61,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913873103057,00:16:25:12:77:b9,-64,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913873125278,00:16:25:12:77:b9,-64,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913873169177,00:16:25:12:77:b9,-57,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913873188401,00:16:25:12:77:b9,-56,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
1,303435FC8803D056D15B963F,1744913873215264,00:16:25:12:77:b9,-68,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
1,303435FC8803D056D15B963F,1744913873235847,00:16:25:12:77:b9,-68,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913873264947,00:16:25:12:77:b9,-60,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913873292915,00:16:25:12:77:b9,-62,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
3,303435FC8803D056D15B963F,1744913873320989,00:16:25:12:77:b9,-65,Impinj RFID Reader,,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913873373928,00:16:25:12:77:b9,-52,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
1,303435FC8803D056D15B963F,1744913873400028,00:16:25:12:77:b9,-70,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
1,303435FC8803D056D15B963F,1744913873423512,00:16:25:12:77:b9,-70,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913873446733,00:16:25:12:77:b9,-62,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913873468495,00:16:25:12:77:b9,-63,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913873529144,00:16:25:12:77:b9,-61,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913873550939,00:16:25:12:77:b9,-62,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913873596406,00:16:25:12:77:b9,-65,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913873618273,00:16:25:12:77:b9,-65,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913873663283,00:16:25:12:77:b9,-60,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913873690712,00:16:25:12:77:b9,-56,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913873736335,00:16:25:12:77:b9,-63,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913873756571,00:16:25:12:77:b9,-62,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913873804329,00:16:25:12:77:b9,-57,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913873823579,00:16:25:12:77:b9,-56,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913873891069,00:16:25:12:77:b9,-59,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913873913908,00:16:25:12:77:b9,-59,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
3,303435FC8803D056D15B963F,1744913873938026,00:16:25:12:77:b9,-65,Impinj RFID Reader,,2025-04-17 12:15:52
3,303435FC8803D056D15B963F,1744913873959866,00:16:25:12:77:b9,-64,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913873987471,00:16:25:12:77:b9,-67,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913874007077,00:16:25:12:77:b9,-67,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913874056280,00:16:25:12:77:b9,-59,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913874095062,00:16:25:12:77:b9,-59,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913874144354,00:16:25:12:77:b9,-67,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913874162251,00:16:25:12:77:b9,-68,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913874209989,00:16:25:12:77:b9,-61,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913874227354,00:16:25:12:77:b9,-61,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913874296454,00:16:25:12:77:b9,-67,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913874315872,00:16:25:12:77:b9,-67,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913874364265,00:16:25:12:77:b9,-60,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913874381426,00:16:25:12:77:b9,-60,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913874427986,00:16:25:12:77:b9,-61,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
4,303435FC8803D056D15B963F,1744913874448984,00:16:25:12:77:b9,-60,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
1,303435FC8803D056D15B963F,1744913874497755,00:16:25:12:77:b9,-66,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
1,303435FC8803D056D15B963F,1744913874516525,00:16:25:12:77:b9,-65,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
2,303435FC8803D056D15B963F,1744913874543865,00:16:25:12:77:b9,-59,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:52
