antenna_port,epc,first_seen_timestamp,mac_address,peak_rssi,reader_name,tid,timestamp
4,303435FC8803D056D15B963F,1744913823778748,00:16:25:12:77:b9,-54,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:16
4,303435FC8803D056D15B963F,1744913823797259,00:16:25:12:77:b9,-54,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:16
1,303435FC8803D056D15B963F,1744913823826401,00:16:25:12:77:b9,-62,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:16
1,303435FC8803D056D15B963F,1744913823843048,00:16:25:12:77:b9,-62,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:16
4,303435FC8803D056D15B963F,1744913823910779,00:16:25:12:77:b9,-57,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:16
4,303435FC8803D056D15B963F,1744913823930984,00:16:25:12:77:b9,-57,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:16
1,303435FC8803D056D15B963F,1744913823983903,00:16:25:12:77:b9,-69,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:16
1,303435FC8803D056D15B963F,1744913824000940,00:16:25:12:77:b9,-70,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:16
4,303435FC8803D056D15B963F,1744913824065770,00:16:25:12:77:b9,-58,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:16
4,303435FC8803D056D15B963F,1744913824086099,00:16:25:12:77:b9,-57,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:16
1,303435FC8803D056D15B963F,1744913824113109,00:16:25:12:77:b9,-70,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:16
1,303435FC8803D056D15B963F,1744913824131737,00:16:25:12:77:b9,-70,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:16
4,303435FC8803D056D15B963F,1744913824205027,00:16:25:12:77:b9,-60,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:15:16
