antenna_port,epc,first_seen_timestamp,mac_address,peak_rssi,reader_name,tid,timestamp
4,303435FC8803D056D15B963F,1744913140627147,00:16:25:12:77:b9,-49,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
4,303435FC8803D056D15B963F,1744913140648093,00:16:25:12:77:b9,-44,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
1,303435FC8803D056D15B963F,1744913140697111,00:16:25:12:77:b9,-62,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
1,303435FC8803D056D15B963F,1744913140714255,00:16:25:12:77:b9,-63,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
3,303435FC8803D056D15B963F,1744913140760212,00:16:25:12:77:b9,-50,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
3,303435FC8803D056D15B963F,1744913140782166,00:16:25:12:77:b9,-51,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
4,303435FC8803D056D15B963F,1744913140810493,00:16:25:12:77:b9,-43,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
4,303435FC8803D056D15B963F,1744913140830945,00:16:25:12:77:b9,-44,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
1,303435FC8803D056D15B963F,1744913140860599,00:16:25:12:77:b9,-62,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
1,303435FC8803D056D15B963F,1744913140901980,00:16:25:12:77:b9,-57,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
3,303435FC8803D056D15B963F,1744913140952829,00:16:25:12:77:b9,-55,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
3,303435FC8803D056D15B963F,1744913140972769,00:16:25:12:77:b9,-55,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
4,303435FC8803D056D15B963F,1744913141003322,00:16:25:12:77:b9,-47,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
4,303435FC8803D056D15B963F,1744913141019791,00:16:25:12:77:b9,-47,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
1,303435FC8803D056D15B963F,1744913141047440,00:16:25:12:77:b9,-60,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
1,303435FC8803D056D15B963F,1744913141067218,00:16:25:12:77:b9,-60,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
3,303435FC8803D056D15B963F,1744913141123288,00:16:25:12:77:b9,-52,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
3,303435FC8803D056D15B963F,1744913141142345,00:16:25:12:77:b9,-51,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
4,303435FC8803D056D15B963F,1744913141170756,00:16:25:12:77:b9,-52,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
4,303435FC8803D056D15B963F,1744913141188493,00:16:25:12:77:b9,-53,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
1,303435FC8803D056D15B963F,1744913141216167,00:16:25:12:77:b9,-58,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
1,303435FC8803D056D15B963F,1744913141237964,00:16:25:12:77:b9,-58,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
3,303435FC8803D056D15B963F,1744913141304973,00:16:25:12:77:b9,-47,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
3,303435FC8803D056D15B963F,1744913141321424,00:16:25:12:77:b9,-47,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
4,303435FC8803D056D15B963F,1744913141350500,00:16:25:12:77:b9,-58,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
4,303435FC8803D056D15B963F,1744913141369139,00:16:25:12:77:b9,-57,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
1,303435FC8803D056D15B963F,1744913141397557,00:16:25:12:77:b9,-64,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
1,303435FC8803D056D15B963F,1744913141419511,00:16:25:12:77:b9,-64,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
3,303435FC8803D056D15B963F,1744913141464406,00:16:25:12:77:b9,-50,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
3,303435FC8803D056D15B963F,1744913141507906,00:16:25:12:77:b9,-52,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
4,303435FC8803D056D15B963F,1744913141531140,00:16:25:12:77:b9,-51,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
4,303435FC8803D056D15B963F,1744913141551426,00:16:25:12:77:b9,-51,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
1,303435FC8803D056D15B963F,1744913141581484,00:16:25:12:77:b9,-61,Impinj RFID Reader,E28068942000401581C3CDC1,2025-04-17 12:04:31
